Kiwis,100,0,61,1.1,15,0.5
Tyson Fun Nuggets,0,,45,2.5,2.5,2.8
Tater Tots,0,1,15,0.2,1.6,0.9
Banana,0,1,115,1.4,29,0.4
Blueberries,100,0,57,0.7,14,0.3
Raspberries,100,0,52,1.2,12,0.7
Blackberries,100,0,43,1.4,9.6,0.5
Strawberries,100,0,32,0.7,7.7,0.3
Whey CA Almond Milk,0,1,190,26,8,5.5
Peanuts,30,0,170,8,6,15
Black Olives,25,0,91,0.5,1.4,9.2
Tortilla,0,1,100,2,15,3
Red Apple,100,0,52,0.3,13.8,0.2
Manchego Cheese,28,0,120,7,2,10
Nutella,37,0,200,2,22,11
Baklava,0,1,230,3,30,11
Avacado,100,0,160,2,8.5,15
Parmesean Bagel,0,1,310,13,57,3
Nonfat Costco Yogurt,170,0,100,18,7,0
Costco Spaghetti,1400,0,1890,54,387,9
Chicken Tenders,112,0,100,23,0,1
Oil,15,0,120,0,0,14
Fat Free Mozzarella Cheese,28,0,45,9,2,0
Egg Whites,46,0,25,5,0,0
Turkish Pide,0,1,360,13,55,11
Breakfast Sandwich,0,1,500,36,66,10
Safeway Fries,85,0,150,2,20,8
Homemade Burg,0,1,600,26.6,49.1,30.7
Mango,100,0,60,0.8,15,0.4
Honey,21,0,60,0,17,0
Oreos,0,1,56,0.6,8.5,2.3
Everything Bagel,0,1,310,12,61,2.5
Apples,212,0,125,0.6,30,0.4
Eggs,0,1,70,6,0,5
Rice,1200,0,1520,24,304,28
Roasted veggies,1212,0,996,20,178,29
Makers Mark,0,1,69,0,15,0
Spaghetti,1400,0,1890,54,387,9
Chicken Thighs,112,0,150,18,0,9
Gatorade,0,1,140,0,36,0
Monterey Jack Cheese,28,0,100,7,0,8
Naan bread,0,1,140,4,22,3.5
Costco Cookie,0,1,220,3,31,10
Butter,100,0,714,0,0,78.6
Feta Cheese,28,0,90,5,0.5,7
Protein milkshake,0,1,400,33,38.5,18.5
Navy Beans,260,0,200,12,34,0
White Bread,40,0,108,3.8,20,1.4
Salmon Burger and Fries,0,1,520,30,50,23
White Wine,0,1,121,0.1,3.8,0
Shell Peanuts,28,0,170,7,7,13
Bens Cheese Risotto,0,1,430,8,79,9
Crispy Crowns,0,1,13,0.1,1.2,0.8
Lowfat Mozzarella Cheese,28,0,70,8,1,4
Tomatoes,100,0,18,0.88,3.89,0.2
Red Onions,100,0,32,1,8,0
Daves Killer Bread,0,1,110,5,22,1.5
mozzarella slice,0,1,50,5,0,4
Red Grapes,100,0,86,0.9,20.2,0.2
Bens Basmati,0,1,400,9,80,6
mozzarella sticks,0,1,63,3,5.7,3.3
Almond Vegan protein shake,0,1,195,22.5,22.5,7.8
Beyond Patty,0,1,250,19,6,15
Artesano Buns,0,1,190,6,35,2
Artesano Beyond Burg,0,1,518,26,48,23
Cucumbers,100,0,15,0.6,3.6,0.1
ultimate hydration,0,1,20,0,5,0
Soon Veggie Noodle Soup,0,1,480,9,76,15
Mushrooms,100,0,22,3.1,3.3,0.3
Sesame Oil,0,1,120,0,0,14
Ginger Paste,5,0,10,0,2,0
Garlic,100,0,149,6.4,33.1,0.5
Ramen Broth,0,1,40,2,2,2.5
Tofu,135,0,110,11,3,7
Bok Choy,70,0,9,1,1.5,0
Soy Sauce,15,0,10,1,1,0
Nuggets of Love,0,4,180,10,10,11
Hot n Spicy Ramen,0,1,370,8,57,12
Lays Chile Limon,28,0,160,2,15,10
fairlife protein shake,0,1,150,30,4,2.5
Popcorn Chicken,84,0,190,12,15,9
1/8 Tutta Bella Margherita Pizza,0,1,130,6,19.5,2.5
Pilsbury chocolate chip cookie,0,1,85,0.5,12,4
Safeway yogurt,170,0,120,22,8,0
Empty Artesano Burger,0,1,271,7,42,8
Sliced Pepper Jack,0,1,70,4,0,6
Golden Kiwis,162,0,100,2,26,0
Cherries,155,0,77,1.6,19,0.5
Sliced Swiss,0,1,80,6,1,6
Sliced Colby Jack,0,1,80,5,1,6
Sliced Cheddar,0,1,80,5,1,7
Sliced Monterey Jack,0,1,80,5,1,6
Impossible Patty,0,1,230,19,9,13
Artesano Impossible Burg,0,1,501,26,51,21
Beyond Steak Tips,88,0,170,21,7,6
Almond Milk Gold Whey,0,1,150,25,5,3.5
Sun Chips Garden Salsa,28,0,140,2,19,6
Pringles Chile & Lime,28,0,150,1,16,9
Golden Potatoes,150,0,100,3,24,0
Green Peppers,114,0,32,1,7.6,0.2
Parmigiano Reggiano,28,0,110,9,1,8
Lemon Lime Gatorade,0,1,140,0,36,0
Green Grapes,49,0,34,0.4,8.9,0.1
Gold Standard Whey,0,1,120,24,4,1
2% milk,0,1,120,8,12,5
Root Vegetables,85,0,70,1,13,2
Coors light,0,1,102,0,5,0
Sliced Havarti,0,1,110,6,0,9
Double chocolate costco muffin,0,1,689,10,76,38
Nestle Chocolate chip cookies,0,1,90,0.5,11,4
Oat milk,0,1,120,3,16,5
Mahi Mahi Fish,112,0,100,21,0,1
Orgain Chocolate Protein,0,1,160,21,18,5
Oat Milk Vegan Protein Shake,0,1,340,26,42,13
Impossible nuggets,0,5,240,13,19,12
5 Cheese Bread,0,1,160,6,19,6
Katsu sauce,15,0,25,0,6,0
